"Mineral Name","Mineral Name (plain)","IMA Chemistry (concise)","Valence Elements"
"Usturite","Usturite","Ca_3_(SbZr)(FeO_4_)_3_","Ca Zr^4+ Sb^5+ Fe^3+ O"
"Utahite","Utahite","MgCu^2+^_4_Zn_2_Te^6+^_3_O_14_(OH)_4_·6H_2_O","Mg Cu^2+ Zn^2+ Te^6+ O H"
"Uvanite","Uvanite","(UO_2_)_2_V^5+^_6_O_17_·15H_2_O (?)","U^6+ V^5+ O H"
"Uvarovite","Uvarovite","Ca_3_Cr_2_(SiO_4_)_3_","Ca Cr^3+ Si O"
"Uvite","Uvite","CaMg_3_(Al_5_Mg)(Si_6_O_18_)(BO_3_)_3_(OH)_3_(OH)","Ca Mg Al Si O B H"
"Uytenbogaardtite","Uytenbogaardtite","Ag_3_AuS_2_","Ag Au S"
"Uzonite","Uzonite","As_4_S_5_","As S"
"Vaesite","Vaesite","NiS_2_","Ni^2+ S"
"Vajdakite","Vajdakite","(Mo^6+^O_2_)_2_As^3+^_2_O_5_·3H_2_O","Mo^6+ O As^3+ H"
"Valentinite","Valentinite","Sb_2_O_3_","Sb^3+ O"
"Valleriite","Valleriite","2[(Fe,Cu)S]·1.53[(Mg,Al)(OH)_2_]","Fe^3+ Cu^1+ S Mg Al O H"
"Valleyite","Valleyite","Ca_4_Fe_6_O_13_","Ca Fe^3+ O"
"Vanackerite","Vanackerite","Pb_4_Cd(AsO_4_)_3_Cl","Pb^2+ Cd^2+ As^5+ O Cl"
"Vanadinite","Vanadinite","Pb_5_(VO_4_)_3_Cl","Pb^2+ V^5+ O Cl"
"Vanadiocarpholite","Vanadiocarpholite","Mn^2+^V^3+^AlSi_2_O_6_(OH)_4_","Mn^2+ V^3+ Al Si O H"
"Vanadio-oxy-chromium-dravite","Vanadio-oxy-chromium-dravite","NaV_3_(Cr_4_Mg_2_)(Si_6_O_18_)(BO_3_)_3_(OH)_3_O","Na V^3+ Cr^3+ Mg Si O B H"
"Vanadio-oxy-dravite","Vanadio-oxy-dravite","NaV_3_(Al_4_Mg_2_)(Si_6_O_18_)(BO_3_)_3_(OH)_3_O","Na V^3+ Al Mg Si O B H"
"Vanadio-pargasite","Vanadio-pargasite","NaCa_2_(Mg_4_V)(Si_6_Al_2_)O_22_(OH)_2_","Na Ca Mg V^3+ Si Al O H"
"Vanadium","Vanadium","V","V"
"Vanadoallanite-(La)","Vanadoallanite-(La)","CaLa^3+^V^3+^AlFe^2+^(Si_2_O_7_)(SiO_4_)O(OH)","Ca La^3+ V^3+ Al Fe^2+ Si O H"
"Vanadoandrosite-(Ce)","Vanadoandrosite-(Ce)","MnCe(V^3+^AlMn^2+^)[Si_2_O_7_][SiO_4_]O(OH)","Mn^2+ Ce^3+ V^3+ Al O Si H"
"Vanadomalayaite","Vanadomalayaite","CaVO(SiO_4_)","Ca V^4+ O Si"
"Vanalite","Vanalite","NaAl_8_V_10_O_38_·30H_2_O","Na Al V^5+ O H"
"Vanarsite","Vanarsite","NaCa_12_(As^3+^V^5+^_8.5_V^4+^_3.5_As^5+^_6_O_51_)_2_·78H_2_O","Na Ca As^3+ V^5+ V^4+ As^5+ O H"
"Vandenbrandeite","Vandenbrandeite","Cu(UO_2_)(OH)_4_","Cu^2+ U^6+ O H"
"Vandendriesscheite","Vandendriesscheite","Pb_1.6_(UO_2_)_10_O_6_(OH)_11_·11H_2_O","Pb^2+ U^6+ O H"
"Vanderheydenite","Vanderheydenite","Zn_6_(PO_4_)_2_(SO_4_)(OH)_4_·7H_2_O","Zn^2+ P O S^6+ H"
"Vandermeerscheite","Vandermeerscheite","K_2_[(UO_2_)_2_V_2_O_8_]·2H_2_O","K U^6+ O V^5+ H"
"Vaniniite","Vaniniite","Ca_2_Mn^2+^_3_Mn^3+^_2_O_2_(AsO_4_)_4_·2H_2_O","Ca Mn^2+ Mn^3+ O As^5+ H"
"Vanmeersscheite","Vanmeersscheite","U(UO_2_)_3_(PO_4_)_2_(OH)_6_·4H_2_O","U^6+ O P H"
"Vanoxite","Vanoxite","V_6_O_13_·8H_2_O (?)","V^4+ V^5+ O H"
"Vantasselite","Vantasselite","Al_4_(PO_4_)_3_(OH)_3_·9H_2_O","Al P O H"
"Vanthoffite","Vanthoffite","Na_6_Mg(SO_4_)_4_","Na Mg S^6+ O"
"Vanuralite","Vanuralite","Al(UO_2_)_2_(VO_4_)_2_(OH)·8.5H_2_O","Al U^6+ O V^5+ H"
"Vapnikite","Vapnikite","Ca_2_CaUO_6_","Ca U^6+ O"
"Varennesite","Varennesite","Na_8_Mn_2_Si_10_O_25_(OH,Cl)_2_·12H_2_O","Na Mn^2+ Si O H Cl"
"Vargite","Vargite","Cu_2_Mn_3_(AsO_4_)_2_(OH)_4_(H_2_O)_4_","Cu^2+ Mn^2+ As^5+ O H"
"Variscite","Variscite","Al(PO_4_)·2H_2_O","Al P O H"
"Varlamoffite","Varlamoffite","(Sn,Fe)(O,OH)_2_","Sn^4+ Fe^3+ O H"
"Varulite","Varulite","Na_2_Mn(MnFe^3+^)(PO_4_)_3_","Na Mn^2+ Fe^3+ P O"
"Vashegyite","Vashegyite","Al_11_(PO_4_)_9_(OH)_6_·38H_2_O","Al P O H"
"Vasilite","Vasilite","(Pd,Cu)_16_(S,Te)_7_","Pd Cu S Te"
"Vasilseverginite","Vasilseverginite","Cu_9_O_4_(AsO_4_)_2_(SO_4_)_2_","Cu^2+ O As^5+ S^6+"
"Vasilyevite","Vasilyevite","(Hg_2_)^2+^_10_O_6_I_3_Br_2_Cl(CO_3_)","Hg O I Br Cl C"
"Västmanlandite-(Ce)","Vastmanlandite-(Ce)","Ce_3_CaMg_2_Al_2_Si_5_O_19_(OH)_2_F","Ce^3+ Ca Mg Al Si O H F"
"Vaterite","Vaterite","Ca(CO_3_)","Ca C O"
"Vaughanite","Vaughanite","TlHgSb_4_S_7_","Tl Hg Sb S"
"Vauquelinite","Vauquelinite","CuPb_2_(CrO_4_)(PO_4_)(OH)","Cu^2+ Pb^2+ Cr^6+ O P H"
"Vauxite","Vauxite","Fe^2+^Al_2_(PO_4_)_2_(OH)_2_·6H_2_O","Fe^2+ Al P O H"
"Vavřínite","Vavrinite","Ni_2_SbTe_2_","Ni Sb Te"
"Väyrynenite","Vayrynenite","BeMn^2+^(PO_4_)(OH)","Mn^2+ Be P O H"
"Veatchite","Veatchite","Sr_2_B_11_O_16_(OH)_5_·H_2_O","Sr B O H"
"Veblenite","Veblenite","K_2_[box]_2_Na(Fe^2+^_5_Fe^3+^_4_Mn_7_[box])Nb_3_Ti(Si_2_O_7_)_2_(Si_8_O_22_)_2_O_6_(OH)_10_(H_2_O)_3_","K Na Fe^2+ Fe^3+ Mn^2+ Nb^5+ Ti^4+ Si O H"
"Veenite","Veenite","Pb_2_(Sb,As)_2_S_5_","Pb^2+ Sb^3+ S^2-"
"Velikite","Velikite","Cu_2_HgSnS_4_","Cu^1+ Hg^2+ Sn^4+ S^2-"
"Vendidaite","Vendidaite","Al_2_(SO_4_)(OH)_3_Cl·6H_2_O","Al S^6+ O H Cl"
"Verbeekite","Verbeekite","PdSe_2_","Pd Se"
"Verbierite","Verbierite","BeCr^3+^_2_TiO_6_","Be Cr^3+ Ti^4+ O"
"Vergasovaite","Vergasovaite","Cu_3_O(MoO_4_)(SO_4_)","Cu^2+ O Mo^6+ S^6+"
"Vermiculite","Vermiculite","Mg_0.7_(Mg,Fe,Al)_6_(Si,Al)_8_O_20_(OH)_4_·8H_2_O","Mg Fe^3+ Al Si O H"
"Vernadite","Vernadite","(Mn,Fe,Ca,Na)(O,OH)_2_·nH_2_O","Mn^4+ Fe^3+ Ca Na O H"
"Verneite","Verneite","Na_2_Ca_3_Al_2_F_14_","Na Ca Al F"
"Verplanckite","Verplanckite","Ba_4_Mn^2+^_2_Si_4_O_12_(OH,H_2_O)_3_Cl_3_","Ba Mn^2+ Si O H Cl"
"Versiliaite","Versiliaite","(Fe^2+^_2_Fe^3+^_2_)(Fe^3+^_2_Sb^3+^_6_)O_16_S","Fe^2+ Fe^3+ Sb^3+ O S^2-"
"Vertumnite","Vertumnite","Ca_4_Al_4_Si_4_O_6_(OH)_24_·3H_2_O","Ca Al Si O H"
"Veselovskýite","Veselovskyite","ZnCu_4_(AsO_4_)_2_(AsO_3_OH)_2_·9H_2_O","Zn^2+ Cu^2+ As^5+ O H"
"Vésigniéite","Vesignieite","Cu_3_Ba(VO_4_)_2_(OH)_2_","Cu^2+ Ba V^5+ O H"
"Vestaite","Vestaite","(Ti^4+^Fe^2+^)Ti^4+^_3_O_9_","Ti^4+ Fe^2+ O"
"Vesuvianite","Vesuvianite","(Ca,Na)_19_(Al,Mg,Fe)_13_(SiO_4_)_10_(Si_2_O_7_)_4_(OH,F,O)_10_","Ca Na Al Mg Fe^3+ Si O H F"
"Veszelyite","Veszelyite","(Cu,Zn)_2_Zn(PO_4_)(OH)_3_·2H_2_O","Cu^2+ P O H"
"Viaeneite","Viaeneite","(Fe,Pb)_4_S_8_O","Fe^2+ Pb^2+ S S^6+ O"
"Vicanite-(Ce)","Vicanite-(Ce)","(Ca,Ce,La,Th)_15_As^5+^(As^3+^,Na)_0.5_Fe^3+^_0.7_Si_6_B_4_(O,F)_47_","Ca Ce^3+ La^3+ Th^4+ As^5+ As^3+ Na Fe^3+ Si B O F"
"Vigezzite","Vigezzite","(Ca,Ce)(Nb,Ta,Ti)_2_O_6_","Ca Ce^3+ Nb^5+ Ta^5+ Ti^4+ O"
"Vigrishinite","Vigrishinite","NaZnTi_4_(Si_2_O_7_)_2_O_3_(OH)(H_2_O)_4_","Na Zn^2+ Ti^4+ Si O H"
"Vihorlatite","Vihorlatite","Bi_24_Se_17_Te_4_","Bi Se Te"
"Viitaniemiite","Viitaniemiite","NaCaAl(PO_4_)F_3_","Na Ca Al P O F"
"Vikingite","Vikingite","Ag_5_Pb_8_Bi_13_S_30_","Ag^1+ Pb^2+ Bi^3+ S^2-"
"Villamanínite","Villamaninite","CuS_2_","Cu^2+ S"
"Villiaumite","Villiaumite","NaF","Na F"
"Villyaellenite","Villyaellenite","(Mn,Ca)Mn_2_Ca_2_(AsO_3_OH)_2_(AsO_4_)_2_·4H_2_O","Mn^2+ Ca As^5+ O H"
"Vimsite","Vimsite","CaB_2_O_2_(OH)_4_","Ca B O H"
"Vincentite","Vincentite","Pd_3_As","Pd As"
"Vinciennite","Vinciennite","Cu_10_Fe_4_SnAsS_16_","Cu Fe Sn As S"
"Vinogradovite","Vinogradovite","Na_4_Ti_4_(Si_2_O_6_)_2_[(Si,Al)_4_O_10_]O_4_·(H_2_O,Na,K)_3_","Na Ti^4+ Si O Al H K"
"Violarite","Violarite","FeNi_2_S_4_","Fe^2+ Ni^3+ S^2-"
"Virgilite","Virgilite","LiAlSi_2_O_6_","Li Al Si O"
"Vishnevite","Vishnevite","Na_8_(Al_6_Si_6_)O_24_(SO_4_)·2H_2_O","Na Al Si O S^6+ H"
"Vismirnovite","Vismirnovite","ZnSn(OH)_6_","Zn^2+ Sn^4+ O H"
"Vistepite","Vistepite","Mn_4_SnB_2_O_2_(Si_2_O_7_)_2_(OH)_2_","Mn^2+ Sn^4+ B O Si H"
"Viteite","Viteite","Pd_5_InAs","Pd In As"
"Vitimite","Vitimite","Ca_6_B_14_O_19_(SO_4_)(OH)_14_·5H_2_O","Ca B O S^6+ H"
"Vittinkiite","Vittinkiite","MnMn_3_MnSi_5_O_15_","Mn^2+ Si O"
"Vitusite-(Ce)","Vitusite-(Ce)","Na_3_Ce(PO_4_)_2_","Na Ce^3+ P O"
"Vivianite","Vivianite","Fe^2+^_3_(PO_4_)_2_·8H_2_O","Fe^2+ P O H"
"Vladimirite","Vladimirite","Ca_4_(AsO_4_)_2_(AsO_3_OH)·4H_2_O","Ca As^5+ O H"
"Vladimirivanovite","Vladimirivanovite","Na_6_Ca_2_[Al_6_Si_6_O_24_](SO_4_,S_3_,S_2_,Cl)_2_·H_2_O","Na Ca Al Si O S^6+ S Cl H"
"Vladkrivovichevite","Vladkrivovichevite","[Pb_32_O_18_][Pb_4_Mn_2_O]Cl_14_(BO_3_)_8_·2H_2_O","Pb^2+ O Mn^2+ Cl B H"
"Vladykinite","Vladykinite","Na_3_Sr_4_(Fe^2+^Fe^3+^)Si_8_O_24_","Na Sr Fe^2+ Fe^3+ Si O"
"Vlasovite","Vlasovite","Na_2_ZrSi_4_O_11_","Na Zr^4+ Si O"
"Vlodavetsite","Vlodavetsite","Ca_2_Al(SO_4_)_2_F_2_Cl·4H_2_O","Ca Al S^6+ O F Cl H"
"Vochtenite","Vochtenite","Fe^2+^Fe^3+^(UO_2_)_4_(PO_4_)_4_(OH)·12-13H_2_O","Fe^2+ Fe^3+ U^6+ O P H"
"Voggite","Voggite","Na_2_Zr(PO_4_)(CO_3_)(OH)·2H_2_O","Na Zr^4+ P O C H"
"Voglite","Voglite","Ca_2_Cu(UO_2_)(CO_3_)_4_·6H_2_O","Ca Cu^2+ U^6+ O C H"
"Volaschioite","Volaschioite","Fe_4_(SO_4_)O_2_(OH)_6_·2H_2_O","Fe^3+ S^6+ O H"
"Volborthite","Volborthite","Cu_3_V_2_O_7_(OH)_2_·2H_2_O","Cu^2+ V^5+ O H"
"Volkonskoite","Volkonskoite","Ca_0.3_(Cr,Mg)_2_(Si,Al)_4_O_10_(OH)_2_·4H_2_O","Ca Cr^3+ Mg Si Al O H"
"Volkovskite","Volkovskite","KCa_4_B_22_O_32_(OH)_10_Cl·4H_2_O","K Ca B O H Cl"
"Voloshinite","Voloshinite","Rb(LiAl_1.5_[box]_0.5_)(Al_0.5_Si_3.5_)O_10_F_2_","Rb Li Al Si O F"
"Voltaite","Voltaite","K_2_Fe^2+^_5_Fe^3+^_3_Al(SO_4_)_12_·18H_2_O","K Fe^2+ Fe^3+ Al S^6+ O H"
"Volynskite","Volynskite","AgBiTe_2_","Ag Bi Te"
"Vonbezingite","Vonbezingite","Ca_6_Cu_3_(SO_4_)_3_(OH)_12_·2H_2_O","Ca Cu^2+ S^6+ O H"
"Vonsenite","Vonsenite","Fe^2+^_2_Fe^3+^O_2_(BO_3_)","Fe^2+ Fe^3+ O B"
"Vorlanite","Vorlanite","CaUO_4_","Ca U^6+ O"
"Voronkovite","Voronkovite","Na_15_(Na,Ca,Ce)_3_(Mn,Ca)_3_Fe_3_Zr_3_Si_26_O_72_(OH,O)_4_Cl·H_2_O","Na Ca Ce^3+ Mn^2+ Fe^2+ Zr^4+ Si O H Cl"
"Vorontsovite","Vorontsovite","(Hg_5_Cu)TlAs_4_S_12_","Hg Cu Tl As S"
"Voudourisite","Voudourisite","Cd(SO_4_)·H_2_O","Cd^2+ S^6+ O H"
"Vozhminite","Vozhminite","Ni_4_AsS_2_","Ni As S"
"Vránaite","Vranaite","Al_16_B_4_Si_4_O_38_","Al B Si O"
"Vrbaite","Vrbaite","Hg_3_Tl_4_As_8_Sb_2_S_20_","Hg Tl As Sb S"
"Vuagnatite","Vuagnatite","CaAlSiO_4_(OH)","Ca Al Si O H"
"Vulcanite","Vulcanite","CuTe","Cu Te"
"Vuonnemite","Vuonnemite","Na_6_Na_2_Nb_2_Na_3_Ti(Si_2_O_7_)_2_(PO_4_)_2_O_2_(OF)","Na Nb^5+ Ti^4+ Si O P F"
"Vuorelainenite","Vuorelainenite","Mn^2+^V^3+^_2_O_4_","Mn^2+ V^3+ O"
"Vuoriyarvite-K","Vuoriyarvite-K","(K,Na,[box])_12_Nb_8_(Si_4_O_12_)_4_O_8_·12-16H_2_O","K Na Nb^5+ Si O H"
"Vurroite","Vurroite","Pb_20_Sn_2_(Bi,As)_22_S_54_Cl_6_","Pb^2+ Sn^4+ Bi^3+ As^3+ S^2- Cl"
"Vyacheslavite","Vyacheslavite","U^4+^(PO_4_)(OH)","U^4+ P O H"
"Vyalsovite","Vyalsovite","CaFeAlS(OH)_5_","Ca Fe^2+ Al S^2- O H"
"Vymazalováite","Vymazalovaite","Pd_3_Bi_2_S_2_","Pd Bi S"
"Vysokýite","Vysokyite","U^4+^[AsO_2_(OH)_2_]_4_·4H_2_O","U^4+ As^5+ O H"
"Vysotskite","Vysotskite","(Pd,Ni)S","Pd^2+ Ni^2+ S^2-"
"Vyuntspakhkite-(Y)","Vyuntspakhkite-(Y)","Y(Al,Si)(SiO_4_)(OH,O)_2_","Y^3+ Al Si O H"
"Wadalite","Wadalite","Ca_6_Al_5_Si_2_O_16_Cl_3_","Ca Al Si O Cl"
"Wadeite","Wadeite","K_2_ZrSi_3_O_9_","K Zr^4+ Si O"
"Wadsleyite","Wadsleyite","Mg_2_SiO_4_","Mg Si O"
"Wagnerite","Wagnerite","Mg_2_(PO_4_)F","Mg P O F"
"Waimirite-(Y)","Waimirite-(Y)","YF_3_","Y^3+ F"
"Waipouaite","Waipouaite","Ca_3_V^4+^_5_O_9_[Si_2_O_5_(OH)_2_][Si_3_O_7_(OH)_2_]·11H_2_O","Ca V^4+ O Si H"
"Wairakite","Wairakite","Ca(Si_4_Al_2_)O_12_·2H_2_O","Ca Si Al O H"
"Wairauite","Wairauite","CoFe","Co Fe"
"Wakabayashilite","Wakabayashilite","(As,Sb)_6_As_4_S_14_","As Sb S"
"Wakefieldite-(Ce)","Wakefieldite-(Ce)","CeVO_4_","Ce^3+ V^5+ O"
"Wakefieldite-(La)","Wakefieldite-(La)","LaVO_4_","La^3+ V^5+ O"
"Wakefieldite-(Nd)","Wakefieldite-(Nd)","NdVO_4_","Nd^3+ V^5+ O"
"Wakefieldite-(Y)","Wakefieldite-(Y)","YVO_4_","Y^3+ V^5+ O"
"Walentaite","Walentaite","[Mn(H_2_O)_6_][[box]As^3+^_3_Fe^3+^_3_(PO_4_)_2_O_7_]","Mn^2+ H O As^3+ Fe^3+ P"
"Walfordite","Walfordite","(Fe^3+^,Te^6+^,Ti^4+^,Mg)Te^4+^_3_O_8_","Fe^3+ Te^6+ Ti^4+ Mg Te^4+ O"
"Walkerite","Walkerite","Ca_16_(Mg,Li)_2_[B_13_O_17_(OH)_12_]_4_Cl_6_·28H_2_O","Ca Mg Li B O H Cl"
"Wallisite","Wallisite","CuPbTlAs_2_S_5_","Cu^1+ Pb^2+ Tl^1+ As^3+ S^2-"
"Wallkilldellite","Wallkilldellite","Ca_2_Mn^2+^_3_(AsO_4_)_2_(OH)_4_·9H_2_O","Ca Mn^2+ As^5+ O H"
"Wallkilldellite-(Fe)","Wallkilldellite-(Fe)","Ca_2_Fe^2+^_3_(AsO_4_)_2_(OH)_4_·9H_2_O","Ca Fe^2+ As^5+ O H"
"Walpurgite","Walpurgite","Bi_4_O_4_(UO_2_)(AsO_4_)_2_·2H_2_O","Bi^3+ O U^6+ As^5+ H"
"Walstromite","Walstromite","BaCa_2_Si_3_O_9_","Ba Ca Si O"
"Walthierite","Walthierite","Ba_0.5_Al_3_(SO_4_)_2_(OH)_6_","Ba Al S^6+ O H"
"Wampenite","Wampenite","C_18_H_16_","C H"
"Wangdaodeite","Wangdaodeite","FeTiO_3_","Fe^2+ Ti^4+ O"
"Wardite","Wardite","NaAl_3_(PO_4_)_2_(OH)_4_·2H_2_O","Na Al P O H"
"Wardsmithite","Wardsmithite","Ca_5_Mg(B_4_O_7_)_6_·30H_2_O","Ca Mg B O H"
"Warikahnite","Warikahnite","Zn_3_(AsO_4_)_2_·2H_2_O","Zn^2+ As^5+ O H"
"Warkite","Warkite","Ca_2_Sc_6_Al_6_O_20_","Ca Sc^3+ Al O"
"Warwickite","Warwickite","(Mg,Ti,Fe,Cr,Al)_2_O(BO_3_)","Mg Ti^4+ Fe^3+ Cr^3+ Al O B"
"Wassonite","Wassonite","TiS","Ti^2+ S^2-"
"Watanabeite","Watanabeite","Cu_4_(As,Sb)_2_S_5_","Cu As S"
"Watatsumiite","Watatsumiite","LiNa_2_KMn_2_V_2_Si_8_O_24_","K Na Li Mn^2+ V^4+ Si O"
"Waterhouseite","Waterhouseite","Mn_7_(PO_4_)_2_(OH)_8_","Mn^2+ P O H"
"Watkinsonite","Watkinsonite","PbCu_2_Bi_4_(Se,S)_8_","Pb^2+ Cu^1+ Bi^3+ Se^2-"
"Wattersite","Wattersite","Hg^1+^_4_Hg^2+^O_2_(CrO_4_)","Hg^1+ Hg^2+ O Cr^6+"
"Wattevilleite","Wattevilleite","Na_2_Ca(SO_4_)_2_·4H_2_O (?)","Na Ca S^6+ O H"
"Wavellite","Wavellite","Al_3_(PO_4_)_2_(OH)_3_·5H_2_O","Al P O H"
"Wawayandaite","Wawayandaite","Ca_6_Be_9_Mn^2+^_2_BSi_6_O_23_(OH,Cl)_15_","Ca Be Mn^2+ B Si O H Cl"
"Waylandite","Waylandite","BiAl_3_(PO_4_)_2_(OH)_6_","Bi^3+ Al P O H"
"Wayneburnhamite","Wayneburnhamite","Pb_9_Ca_6_(Si_2_O_7_)_3_(SiO_4_)_3_","Pb^2+ Ca Si O"
"Weberite","Weberite","Na_2_MgAlF_7_","Na Mg Al F"
"Weddellite","Weddellite","Ca(C_2_O_4_)·2H_2_O","Ca C O H"
"Weeksite","Weeksite","(K)_2_(UO_2_)_2_(Si_5_O_13_)·4H_2_O","K U^6+ O Si H"
"Wegscheiderite","Wegscheiderite","Na_5_H_3_(CO_3_)_4_","Na H C O"
"Weibullite","Weibullite","Ag_0.33_Pb_5.33_Bi_8.33_(S,Se)_18_","Ag^1+ Pb^2+ Bi^3+ S^2- Se^2-"
"Weilerite","Weilerite","BaAl_3_(SO_4_)(AsO_4_)(OH)_6_","Ba Al S^6+ O As^5+ H"
"Weilite","Weilite","Ca(AsO_3_OH)","Ca As^5+ O H"
"Weinebeneite","Weinebeneite","CaBe_3_(PO_4_)_2_(OH)_2_·4H_2_O","Ca Be P O H"
"Weishanite","Weishanite","(Au,Ag,Hg)","Au Ag Hg"
"Weissbergite","Weissbergite","TlSbS_2_","Tl Sb S"
"Weissite","Weissite","Cu_2-x_Te","Cu Te"
"Welinite","Welinite","Mn^2+^_6_(W^6+^[box])(SiO_4_)_2_O_4_(OH)_2_","Mn^2+ W^6+ Si O H"
"Weloganite","Weloganite","Na_2_Sr_3_Zr(CO_3_)_6_·3H_2_O","Na Sr Zr^4+ C^4+ O H"
"Welshite","Welshite","Ca_4_[Mg_9_Sb^5+^_3_]O_4_[Si_6_Be_3_AlFe^3+^_2_O_36_]","Ca Mg Sb^5+ O Si Be Al Fe^3+"
"Wendwilsonite","Wendwilsonite","Ca_2_Mg(AsO_4_)_2_·2H_2_O","Ca Mg As^5+ O H"
"Wenjiite","Wenjiite","Ti_10_Si_x_P_y_; x>y, 6≤(x+y)≤7","Ti Si P"
"Wenkite","Wenkite","Ba_4_Ca_6_(Si,Al)_20_O_41_(OH)_2_(SO_4_)_3_·H_2_O","Ba Ca Si Al O H S^6+"
"Werdingite","Werdingite","Mg_2_Al_14_Si_4_B_4_O_37_","Mg Al Si B O"
"Wermlandite","Wermlandite","Mg_7_Al_2_(OH)_18_[Ca(H_2_O)_6_](SO_4_)_2_·6H_2_O","Mg Al O H S^6+"
"Wernerbaurite","Wernerbaurite","{(NH_4_)_2_[Ca_2_(H_2_O)_14_](H_2_O)_2_}{V_10_O_28_}","N^3- H Ca V^5+ O"
"Wernerkrauseite","Wernerkrauseite","CaFe^3+^_2_Mn^4+^O_6_","Ca Fe^3+ Mn^4+ O"
"Wesselsite","Wesselsite","SrCuSi_4_O_10_","Sr Cu^2+ Si O"
"Westerveldite","Westerveldite","FeAs","Fe As"
"Wetherillite","Wetherillite","Na_2_Mg(UO_2_)_2_(SO_4_)_4_·18H_2_O","Na Mg U^6+ O S^6+ H"
"Wheatleyite","Wheatleyite","Na_2_Cu(C_2_O_4_)_2_·2H_2_O","Na Cu^2+ C O H"
"Whelanite","Whelanite","Cu_2_Ca_6_[Si_6_O_17_(OH)](CO_3_)(OH)_3_(H_2_O)_2_","Cu^2+ Ca Si O H C"
"Wherryite","Wherryite","Pb_7_Cu_2_(SO_4_)_4_(SiO_4_)_2_(OH)_2_","Pb^2+ Cu^2+ S^6+ O Si H"
"Whewellite","Whewellite","Ca(C_2_O_4_)·H_2_O","Ca C O H"
"Whitecapsite","Whitecapsite","H_16_Fe^2+^_5_Fe^3+^_14_Sb^3+^_6_(AsO_4_)_18_O_16_·120H_2_O","H Fe^2+ Fe^3+ Sb^3+ As^5+ O"
"Whiteite-(CaFeMg)","Whiteite-(CaFeMg)","CaFe^2+^Mg_2_Al_2_(PO_4_)_4_(OH)_2_·8H_2_O","Ca Fe^2+ Mg Al P O H"
"Whiteite-(CaMgMg)","Whiteite-(CaMgMg)","CaMg_3_Al_2_(PO_4_)_4_(OH)_2_·8H_2_O","Ca Mg Al P O H"
"Whiteite-(CaMnMg)","Whiteite-(CaMnMg)","CaMn^2+^Mg_2_Al_2_(PO_4_)_4_(OH)_2_·8H_2_O","Ca Mn^2+ Mg Al P O H"
"Whiteite-(CaMnMn)","Whiteite-(CaMnMn)","CaMn^2+^Mn^2+^_2_Al_2_(PO_4_)_4_(OH)_2_·8H_2_O","Ca Mn^2+ Al P O H"
"Whiteite-(MnFeMg)","Whiteite-(MnFeMg)","Mn^2+^Fe^2+^Mg_2_Al_2_(PO_4_)_4_(OH)_2_·8H_2_O","Mn^2+ Fe^2+ Mg Al P O H"
"Whiteite-(MnMnMg)","Whiteite-(MnMnMg)","Mn^2+^Mn^2+^Mg_2_Al_2_(PO_4_)_4_(OH)_2_·8H_2_O","Mn^2+ Mg Al P O H"
"Whiteite-(MnMnMn)","Whiteite-(MnMnMn)","Mn^2+^Mn^2+^Mn^2+^_2_Al_2_(PO_4_)_4_(OH)_2_·8H_2_O","Mn^2+ Al P O H"
"Whiterockite","Whiterockite","CaMgMn^3+^_3_O_2_(PO_4_)_2_(CO_3_)F·5H_2_O","Ca Mg Mn^3+ O P C F H"
"Whitlockite","Whitlockite","Ca_9_Mg(PO_3_OH)(PO_4_)_6_","Ca Mg P O H"
"Whitmoreite","Whitmoreite","Fe^2+^Fe^3+^_2_(PO_4_)_2_(OH)_2_·4H_2_O","Fe^2+ Fe^3+ P O H"
"Wickenburgite","Wickenburgite","Pb_3_CaAl_2_Si_10_O_27_·4H_2_O","Pb^2+ Ca Al Si O H"
"Wickmanite","Wickmanite","Mn^2+^Sn^4+^(OH)_6_","Mn^2+ Sn^4+ O H"
"Wicksite","Wicksite","NaCa_2_Fe^2+^_2_(Fe^3+^,Mn^2+^,Fe^2+^)_4_(PO_4_)_6_·2H_2_O","Na Ca Fe^2+ Fe^3+ Mn^2+ P O H"
"Widenmannite","Widenmannite","Pb_2_(OH)_2_[(UO_2_)(CO_3_)_2_]","Pb^2+ U^6+ O C H"
"Widgiemoolthalite","Widgiemoolthalite","Ni_5_(CO_3_)_4_(OH)_2_·4-5H_2_O","Ni^2+ C O H"
"Wightmanite","Wightmanite","Mg_5_O(BO_3_)(OH)_5_·2H_2_O","Mg O B H"
"Wiklundite","Wiklundite","Pb_2_(Mn^2+^,Zn)_3_(Fe^3+^,Mn^2+^)_2_(Mn^2+^,Mg)_19_(As^3+^O_3_)_2_[(Si,As^5+^)O_4_]_6_(OH)_18_Cl_6_","Pb^2+ Mn^2+ Zn^2+ Fe^3+ Mg As^3+ O Si As^5+ H Cl"
"Wilancookite","Wilancookite","(Ba_5_Li_2_[box])Ba_6_Be_24_P_24_O_96_·26H_2_O","Ba Li Be P O H"
"Wilcoxite","Wilcoxite","MgAl(SO_4_)_2_F·17H_2_O","Mg Al S^6+ O F H"
"Wildcatite","Wildcatite","CaFe^3+^Te^6+^O_5_(OH)","Ca Fe^3+ Te^6+ O H"
