"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","Chemistry Elements"
"Skinnerite","Skinnerite","Cu3SbS3","Cu Sb S"
"Skippenite","Skippenite","Bi2Se2Te","Bi Se Te"
"Sklodowskite","Sklodowskite","Mg(UO2)2(SiO3OH)2·6H2O","Mg U O Si H"
"Skorpionite","Skorpionite","Ca3Zn2(PO4)2(CO3)(OH)2·H2O","Ca Zn P O C H"
"Skutterudite","Skutterudite","CoAs3","Co As"
"Slavíkite","Slavikite","(H3O)3Mg6Fe15(SO4)21(OH)18·98H2O","H O Mg Fe S"
"Slavkovite","Slavkovite","Cu13(AsO4)6(AsO3OH)4·23H2O","Cu As O H"
"Slawsonite","Slawsonite","Sr(Al2Si2O8)","Sr Al Si O"
"Šlikite","Slikite","Zn2Mg(CO3)2(OH)2·4H2O","Zn Mg C O H"
"Sluzhenikinite","Sluzhenikinite","Pd15(Sb7-xSnx); 3 ≤ x ≤ 4","Pd Sb Sn"
"Slyudyankaite","Slyudyankaite","Na28Ca4(Si24Al24O96)(SO4)6(S6)1/3(CO2)·2H2O","Na Ca Si Al O S C H"
"Smamite","Smamite","Ca2Sb(OH)4[H(AsO4)2]·6H2O","Ca Sb O H As"
"Smirnite","Smirnite","Bi3+2Te4+O5","Bi Te O"
"Smirnovskite","Smirnovskite","(Th,Ca)(PO4)·nH2O","Th Ca P O H"
"Smithite","Smithite","AgAsS2","Ag As S"
"Smithsonite","Smithsonite","Zn(CO3)","Zn C O"
"Smolyaninovite","Smolyaninovite","Co3Fe3+2(AsO4)4·11H2O","Co Fe As O H"
"Smrkovecite","Smrkovecite","Bi2O(OH)(PO4)","Bi O H P"
"Smythite","Smythite","(Fe,Ni)3+xS4 (x ≈ 0-0.3)","Fe Ni S"
"SO4 - hydrotalcite - 11Å","SO4 - hydrotalcite - 11A","[Mg4Al2(OH)12][Na0.56(SO4)1.30]·7.3H2O","Mg Al O H Na S"
"SO4 - hydrotalcite - 8.8Å","SO4 - hydrotalcite - 8.8A","Mg4Al2(OH)12(SO4)·3H2O","Mg Al O H S"
"Sobolevite","Sobolevite","Na6(Na2Ca)(NaCaMn)Na2Ti2Na2(TiMn)(Si2O7)2(PO4)4O2(OF)F2","Na Ca Mn Ti Si O P F"
"Sobolevskite","Sobolevskite","PdBi","Pd Bi"
"Sodalite","Sodalite","Na4(Si3Al3)O12Cl","Na Si Al O Cl"
"Soddyite","Soddyite","(UO2)2(SiO4)·2H2O","U O Si H"
"Sodicanthophyllite","Sodicanthophyllite","NaMg7(Si7Al)O22(OH)2","Na Mg Si Al O H"
"Sodic-ferri-clinoferroholmquistite","Sodic-ferri-clinoferroholmquistite","Na0.5Li2Fe2+3Fe3+2Si8O22(OH)2","Na Li Fe Si O H"
"Sodic-ferripedrizite","Sodic-ferripedrizite","LiNa2(Fe3+2Mg2Li)Si8O22(OH)2","Li Na Fe Mg Si O H"
"Sodic-ferro-anthophyllite","Sodic-ferro-anthophyllite","NaFe2+7(Si7Al)O22(OH)2","Na Fe Si Al O H"
"Sodic-ferrogedrite","Sodic-ferrogedrite","NaFe2+5Al2(Si5Al3)O22(OH)2","Na Fe Al Si O H"
"Sodic-ferropedrizite","Sodic-ferropedrizite","NaLi2(Fe2+2Al2Li)Si8O22(OH)2","Na Li Fe Al Si O H"
"Sodicgedrite","Sodicgedrite","NaMg6Al(Si6Al2)O22(OH)2","Na Mg Al Si O H"
"Sodicpedrizite","Sodicpedrizite","NaLi2(Mg2Fe3+AlLi)Si8O22(OH)2","Na Li Mg Fe Al Si O H"
"Sofiite","Sofiite","Zn2(Se4+O3)Cl2","Zn Se O Cl"
"Sogdianite","Sogdianite","KZr2Li3Si12O30","K Zr Li Si O"
"Söhngeite","Sohngeite","Ga(OH)3","Ga O H"
"Sokolovaite","Sokolovaite","CsLi2AlSi4O10F2","Cs Li Al Si O F"
"Solongoite","Solongoite","Ca2B3O4(OH)4Cl","Ca B O H Cl"
"Somersetite","Somersetite","Pb8O(OH)4(CO3)5","Pb O H C"
"Sonolite","Sonolite","Mn2+9(SiO4)4(OH)2","Mn Si O H"
"Sonoraite","Sonoraite","Fe3+(Te4+O3)(OH)·H2O","Fe Te O H"
"Sopcheite","Sopcheite","Ag4Pd3Te4","Ag Pd Te"
"Sorbyite","Sorbyite","Pb9Cu(Sb,As)11S26","Pb Cu Sb As S"
"Sørensenite","Sorensenite","Na4Be2Sn(Si3O9)2·2H2O","Na Be Sn Si O H"
"Sorosite","Sorosite","Cu1+x(Sn,Sb)","Cu Sn Sb"
"Sosedkoite","Sosedkoite","K5Al2Ta22O60","K Al Ta O"
"Součekite","Soucekite","CuPbBi(S,Se)3","Cu Pb Bi S Se"
"Souzalite","Souzalite","Mg3Al4(PO4)4(OH)6·2H2O","Mg Al P O H"
"Spadaite","Spadaite","MgSiO2(OH)2·H2O (?)","Mg Si O H"
"Spaltiite","Spaltiite","Tl2Cu2As2S5","Tl Cu As S"
"Spangolite","Spangolite","Cu6Al(SO4)(OH)12Cl·3H2O","Cu Al S O H Cl"
"Spencerite","Spencerite","Zn4(PO4)2(OH)2·3H2O","Zn P O H"
"Sperrylite","Sperrylite","PtAs2","Pt As"
"Spertiniite","Spertiniite","Cu(OH)2","Cu O H"
"Spessartine","Spessartine","Mn2+3Al2(SiO4)3","Mn Al Si O"
"Sphaerobertrandite","Sphaerobertrandite","Be3(SiO4)(OH)2","Be Si O H"
"Sphaerobismoite","Sphaerobismoite","Bi2O3","Bi O"
"Sphalerite","Sphalerite","ZnS","Zn S"
"Spheniscidite","Spheniscidite","(NH4)Fe3+2(PO4)2(OH)·2H2O","N H Fe P O"
"Spherocobaltite","Spherocobaltite","Co(CO3)","Co C O"
"Spinel","Spinel","MgAl2O4","Mg Al O"
"Spionkopite","Spionkopite","Cu39S28","Cu S"
"Spiridonovite","Spiridonovite","(Cu1-xAgx)2Te, (x≈0.4)","Cu Ag Te"
"Spiroffite","Spiroffite","Mn2+2Te4+3O8","Mn Te O"
"Spodumene","Spodumene","LiAlSi2O6","Li Al Si O"
"Spriggite","Spriggite","Pb3(UO2)6O8(OH)2·3H2O","Pb U O H"
"Springcreekite","Springcreekite","BaV3+3(PO4)(PO3OH)(OH)6","Ba V P O H"
"Spryite","Spryite","Ag8(As3+0.5As5+0.5)S6","Ag As S"
"Spurrite","Spurrite","Ca5(SiO4)2(CO3)","Ca Si O C"
"Srebrodolskite","Srebrodolskite","Ca2Fe3+2O5","Ca Fe O"
"Šreinite","Sreinite","Pb(UO2)4(BiO)3(PO4)2(OH)7·4H2O","Pb U O Bi P H"
"Srilankite","Srilankite","Ti2ZrO6","Ti Zr O"
"Stalderite","Stalderite","TlCu(Zn,Fe,Hg)2As2S6","Tl Cu Zn Fe Hg As S"
"Staněkite","Stanekite","Fe3+Mn2+O(PO4)","Fe Mn O P"
"Stanfieldite","Stanfieldite","Ca4Mg5(PO4)6","Ca Mg P O"
"Stangersite","Stangersite","SnGeS3","Sn Ge S"
"Stanleyite","Stanleyite","V4+O(SO4)·6H2O","V O S H"
"Stannite","Stannite","Cu2FeSnS4","Cu Fe Sn S"
"Stannoidite","Stannoidite","Cu8(Fe,Zn)3Sn2S12","Cu Fe Zn Sn S"
"Stannopalladinite","Stannopalladinite","Pd3Sn2 (?)","Pd Sn"
"Starkeyite","Starkeyite","Mg(SO4)·4H2O","Mg S O H"
"Staročeskéite","Staroceskeite","Ag0.70Pb1.60(Bi1.35Sb1.35)Σ2.70S6","Ag Pb Bi Sb S"
"Starovaite","Starovaite","KCu5O(VO4)3","K Cu O V"
"Staurolite","Staurolite","Fe2+2Al9Si4O23(OH)","Fe Al Si O H"
"Stavelotite-(La)","Stavelotite-(La)","La3Mn2+3Cu2+(Mn3+,Fe3+,Mn4+)26(Si2O7)6O30","La Mn Cu Fe Si O"
"Steacyite","Steacyite","K0.3(Na,Ca)2ThSi8O20","K Na Ca Th Si O"
"Steedeite","Steedeite","NaMn2[Si3BO9](OH)2","Na Mn Si B O H"
"Steenstrupine-(Ce)","Steenstrupine-(Ce)","Na14Ce6Mn2+2Fe3+2Zr(PO4)7Si12O36(OH)2·3H2O","Na Ce Mn Fe Zr P O Si H"
"Stefanweissite","Stefanweissite","(Ca,REE)2Zr2(Nb,Ti)(Ti,Nb)2Fe2+O14","Ca REE Zr Nb Ti Fe O"
"Steigerite","Steigerite","Al(VO4)·3H2O","Al V O H"
"Steinhardtite","Steinhardtite","Al","Al"
"Steinmetzite","Steinmetzite","Zn2Fe3+(PO4)2(OH)·3H2O","Zn Fe P O H"
"Steklite","Steklite","KAl(SO4)2","K Al S O"
"Stellerite","Stellerite","Ca4(Si28Al8)O72·28H2O","Ca Si Al O H"
"Stenhuggarite","Stenhuggarite","CaFe3+Sb3+As3+2O7","Ca Fe Sb As O"
"Stenonite","Stenonite","Sr2Al(CO3)F5","Sr Al C O F"
"Stepanovite","Stepanovite","NaMgFe3+(C2O4)3·9H2O","Na Mg Fe C O H"
"Stephanite","Stephanite","Ag5SbS4","Ag Sb S"
"Štěpite","Stepite","U(AsO3OH)2·4H2O","U As O H"
"Stercorite","Stercorite","(NH4)Na(PO3OH)·4H2O","N H Na P O"
"Stergiouite","Stergiouite","CaZn2(AsO4)2·4H2O","Ca Zn As O H"
"Sterlinghillite","Sterlinghillite","Mn2+3(AsO4)2·3H2O","Mn As O H"
"Sternbergite","Sternbergite","AgFe2S3","Ag Fe S"
"Steropesite","Steropesite","Tl3BiCl6","Tl Bi Cl"
"Sterryite","Sterryite","Cu(Ag,Cu)3Pb19(Sb,As)22(As)2S56","Cu Ag Pb Sb As S"
"Stetefeldtite","Stetefeldtite","Ag2Sb2(O,OH)7","Ag Sb O H"
"Stetindite-(Ce)","Stetindite-(Ce)","Ce(SiO4)","Ce Si O"
"Steudelite","Steudelite","Na3(K17Ca7)Ca4(Al24Si24O96)(SO3)6F6·4H2O","Na K Ca Al Si O S F H"
"Stevensite","Stevensite","(Ca,Na)xMg3-ySi4O10(OH)2","Ca Na Mg Si O H"
"Steverustite","Steverustite","Pb2+5(OH)5[Cu1+(S6+O3S2-)3](H2O)2","Pb O H Cu S"
"Stewartite","Stewartite","Mn2+Fe3+2(PO4)2(OH)2·8H2O","Mn Fe P O H"
"Stibarsen","Stibarsen","SbAs","Sb As"
"Stibiconite","Stibiconite","Sb3+Sb5+2O6(OH)","Sb O H"
"Stibioclaudetite","Stibioclaudetite","AsSbO3","As Sb O"
"Stibiocolumbite","Stibiocolumbite","SbNbO4","Sb Nb O"
"Stibiocolusite","Stibiocolusite","Cu13V(Sb,Sn,As)3S16","Cu V Sb Sn As S"
"Stibiogoldfieldite","Stibiogoldfieldite","Cu6Cu6(Sb2Te2)S13","Cu Sb Te S"
"Stibiopalladinite","Stibiopalladinite","Pd5Sb2","Pd Sb"
"Stibiotantalite","Stibiotantalite","Sb3+TaO4","Sb Ta O"
"Stibioústalečite","Stibioustalecite","Cu6Cu6(Sb2Te2)Se13","Cu Sb Te Se"
"Stibivanite","Stibivanite","Sb3+2V4+O5","Sb V O"
"Stibnite","Stibnite","Sb2S3","Sb S"
"Stichtite","Stichtite","Mg6Cr2(CO3)(OH)16·4H2O","Mg Cr C O H"
"Stilbite-Ca","Stilbite-Ca","NaCa4(Si27Al9)O72·28H2O","Na Ca Si Al O H"
"Stilbite-Na","Stilbite-Na","Na9(Si27Al9)O72·28H2O","Na Si Al O H"
"Stilleite","Stilleite","ZnSe","Zn Se"
"Stillwaterite","Stillwaterite","Pd8As3","Pd As"
"Stillwellite-(Ce)","Stillwellite-(Ce)","CeBSiO5","Ce B Si O"
"Stilpnomelane","Stilpnomelane","(K,Ca,Na)(Fe,Mg,Al)8(Si,Al)12(O,OH)36·nH2O","K Ca Na Fe Mg Al Si O H"
"Stishovite","Stishovite","SiO2","Si O"
"Stistaite","Stistaite","SnSb","Sn Sb"
"Stöfflerite","Stofflerite","CaAl2Si2O8","Ca Al Si O"
"Stoiberite","Stoiberite","Cu5O2(VO4)2","Cu O V"
"Stokesite","Stokesite","CaSnSi3O9·2H2O","Ca Sn Si O H"
"Stolperite","Stolperite","AlCu","Al Cu"
"Stolzite","Stolzite","Pb(WO4)","Pb W O"
"Stoppaniite","Stoppaniite","Fe3+2Be3Si6O18·H2O","Fe Be Si O H"
"Stornesite-(Y)","Stornesite-(Y)","Na6(Ca5Na3)YMg43(PO4)36","Na Ca Y Mg P O"
"Stottite","Stottite","Fe2+Ge(OH)6","Fe Ge O H"
"Stracherite","Stracherite","BaCa6(SiO4)2[(PO4)(CO3)]F","Ba Ca Si O P C F"
"Straczekite","Straczekite","(Ca,K,Ba)(V5+,V4+)8O20·3H2O","Ca K Ba V O H"
"Strakhovite","Strakhovite","NaBa3(Mn2+,Mn3+)4[Si4O10(OH)2][Si2O7]O2·(F,OH)·H2O","Na Ba Mn Si O H F"
"Stranskiite","Stranskiite","CuZn2(AsO4)2","Cu Zn As O"
"Strashimirite","Strashimirite","Cu4(AsO4)2(OH)2·2.5H2O","Cu As O H"
"Straßmannite","Strassmannite","Al(UO2)(SO4)2F·16H2O","Al U O S F H"
"Strätlingite","Stratlingite","Ca2Al(Si,Al)2O2(OH)10·2.25H2O","Ca Al Si O H"
"Strelkinite","Strelkinite","Na2(UO2)2(VO4)2·6H2O","Na U O V H"
"Strengite","Strengite","Fe3+(PO4)·2H2O","Fe P O H"
"Stringhamite","Stringhamite","CaCu(SiO4)·H2O","Ca Cu Si O H"
"Stromeyerite","Stromeyerite","CuAgS","Cu Ag S"
"Stronadelphite","Stronadelphite","Sr5(PO4)3F","Sr P O F"
"Stronalsite","Stronalsite","Na2SrAl4Si4O16","Na Sr Al Si O"
"Strontianite","Strontianite","Sr(CO3)","Sr C O"
"Strontioborite","Strontioborite","Sr[B8O11(OH)4]","Sr B O H"
"Strontiochevkinite","Strontiochevkinite","(Sr,Ce,La)4Fe2+(Ti,Zr)4O8(Si2O7)2","Sr Ce La Fe Ti Zr O Si"
"Strontiodresserite","Strontiodresserite","SrAl2(CO3)2(OH)4·H2O","Sr Al C O H"
"Strontiofluorite","Strontiofluorite","SrF2","Sr F"
"Strontioginorite","Strontioginorite","CaSrB14O20(OH)6·5H2O","Ca Sr B O H"
"Strontiohurlbutite","Strontiohurlbutite","SrBe2(PO4)2","Sr Be P O"
"Strontiojoaquinite","Strontiojoaquinite","(Na,Fe)2Ba2Sr2Ti2(SiO3)8(O,OH)2·H2O","Na Fe Ba Sr Ti Si O H"
"Strontiomelane","Strontiomelane","Sr(Mn4+6Mn3+2)O16","Sr Mn O"
"Strontio-orthojoaquinite","Strontio-orthojoaquinite","NaSr4Fe3+Ti2Si8O24(OH)4","Na Sr Fe Ti Si O H"
"Strontioperloffite","Strontioperloffite","SrMn2+2Fe3+2(PO4)3(OH)3","Sr Mn Fe P O H"
"Strontiopharmacosiderite","Strontiopharmacosiderite","Sr0.5Fe4[(AsO4)3(OH)4]·4H2O","Sr Fe As O H"
"Strontiopyrochlore","Strontiopyrochlore","Sr0.6Nb2(O,OH)7","Sr Nb O H"
"Strontioruizite","Strontioruizite","Sr2Mn3+2Si4O11(OH)4·2H2O","Sr Mn Si O H"
"Strontiowhitlockite","Strontiowhitlockite","Sr9Mg(PO3OH)(PO4)6","Sr Mg P O H"
"Strunzite","Strunzite","Mn2+Fe3+2(PO4)2(OH)2·6H2O","Mn Fe P O H"
"Struvite","Struvite","(NH4)Mg(PO4)·6H2O","N H Mg P O"
"Struvite-(K)","Struvite-(K)","KMg(PO4)·6H2O","K Mg P O H"
"Studenitsite","Studenitsite","NaCa2B9O14(OH)4·2H2O","Na Ca B O H"
"Studtite","Studtite","(UO2)(O2)(H2O)2·2H2O","U O H"
"Stumpflite","Stumpflite","PtSb","Pt Sb"
"Sturmanite","Sturmanite","Ca6Fe3+2(SO4)2.5[B(OH)4](OH)12·25H2O","Ca Fe S O B H"
"Stützite","Stutzite","Ag5-xTe3 (x = 0.24-0.36)","Ag Te"
"Suanite","Suanite","Mg2B2O5","Mg B O"
"Sudburyite","Sudburyite","PdSb","Pd Sb"
"Sudoite","Sudoite","Mg2Al3(Si3Al)O10(OH)8","Mg Al Si O H"
"Sudovikovite","Sudovikovite","PtSe2","Pt Se"
"Suenoite","Suenoite","[box]Mn2Mg5Si8O22(OH)2","Mn Mg Si O H"
"Suessite","Suessite","Fe3Si","Fe Si"
"Sugakiite","Sugakiite","Cu(Fe,Ni)8S8","Cu Fe Ni S"
"Sugilite","Sugilite","KNa2Fe3+2(Li3Si12)O30","K Na Fe Li Si O"
"Suhailite","Suhailite","(NH4)Fe2+3(Si3Al)O10(OH)2","N H Fe Si Al O"
"Sulfatoredmondite","Sulfatoredmondite","[Pb8O2Zn(OH)6](SO4)4·6H2O","Pb O Zn H S"
"Sulfhydrylbystrite","Sulfhydrylbystrite","Na5K2Ca[Al6Si6O24](S5)2-(SH)-","Na K Ca Al Si O S H"
"Sulfoborite","Sulfoborite","Mg3[B(OH)4]2(SO4)(OH,F)2","Mg B O H S F"
"Sulphohalite","Sulphohalite","Na6(SO4)2ClF","Na S O Cl F"
"Sulphotsumoite","Sulphotsumoite","Bi3Te2S","Bi Te S"
"Sulphur","Sulphur","S","S"
"Sulphur-β","Sulphur-beta","S","S"
"Sulvanite","Sulvanite","Cu3VS4","Cu V S"
"Sundiusite","Sundiusite","Pb10(SO4)O8Cl2","Pb S O Cl"
"Suolunite","Suolunite","Ca2Si2O5(OH)2·H2O","Ca Si O H"
"Suredaite","Suredaite","PbSnS3","Pb Sn S"
"Surinamite","Surinamite","Mg3Al3O(Si3BeAlO15)","Mg Al O Si Be"
"Surite","Surite","(Pb,Ca)3Al2(Si,Al)4O10(CO3)2(OH)3·0.3H2O","Pb Ca Al Si O C H"
"Surkhobite","Surkhobite","KBa3Ca2Na2Mn16Ti8(Si2O7)8O8(OH)4(F,O,OH)8","K Ba Ca Na Mn Ti Si O H F"
"Sursassite","Sursassite","Mn2+2Al3(SiO4)(Si2O7)(OH)3","Mn Al Si O H"
"Susannite","Susannite","Pb4(SO4)(CO3)2(OH)2","Pb S O C H"
"Suseinargiuite","Suseinargiuite","(Na0.5Bi0.5)(MoO4)","Na Bi Mo O"
"Sussexite","Sussexite","Mn2+BO2(OH)","Mn B O H"
"Suzukiite","Suzukiite","BaV4+Si2O7","Ba V Si O"
"Svabite","Svabite","Ca5(AsO4)3F","Ca As O F"
"Svanbergite","Svanbergite","SrAl3(SO4)(PO4)(OH)6","Sr Al S O P H"
"Sveinbergeite","Sveinbergeite","(H2O)2[Ca(H2O)](Fe2+6Fe3+)Ti2(Si4O12)2O2(OH)4[(OH)(H2O)]","H O Ca Fe Ti Si"
"Sveite","Sveite","KAl7(NO3)4(OH)16Cl2·8H2O","K Al N O H Cl"
"Švenekite","Svenekite","Ca[AsO2(OH)2]2","Ca As O H"
"Sverigeite","Sverigeite","NaBe2Mn2+2SnSi3O12(OH)","Na Be Mn Sn Si O H"
"Svetlanaite","Svetlanaite","SnSe","Sn Se"
"Svornostite","Svornostite","K2Mg[(UO2)(SO4)2]2·8H2O","K Mg U O S H"
"Svyatoslavite","Svyatoslavite","Ca(Al2Si2O8)","Ca Al Si O"
"Svyazhinite","Svyazhinite","MgAl(SO4)2F·14H2O","Mg Al S O F H"
"Swaknoite","Swaknoite","(NH4)2Ca(PO3OH)2·H2O","N H Ca P O"
"Swamboite-(Nd)","Swamboite-(Nd)","Nd0.333[(UO2)(SiO3OH)](H2O)~2.5","Nd U O Si H"
"Swartzite","Swartzite","CaMg(UO2)(CO3)3·12H2O","Ca Mg U O C H"
"Swedenborgite","Swedenborgite","NaBe4Sb5+O7","Na Be Sb O"
"Sweetite","Sweetite","Zn(OH)2","Zn O H"
"Swinefordite","Swinefordite","Ca0.2(Li,Al,Mg,Fe)3(Si,Al)4O10(OH,F)2·nH2O","Ca Li Al Mg Fe Si O H F"
"Switzerite","Switzerite","Mn2+3(PO4)2·7H2O","Mn P O H"
"Sylvanite","Sylvanite","AgAuTe4","Ag Au Te"
"Sylvite","Sylvite","KCl","K Cl"
"Symesite","Symesite","Pb10(SO4)O7Cl4·H2O","Pb S O Cl H"
"Symplesite","Symplesite","Fe2+3(AsO4)2·8H2O","Fe As O H"
"Synadelphite","Synadelphite","Mn2+9(AsO4)2(AsO3)(OH)9·2H2O","Mn As O H"
"Synchysite-(Ce)","Synchysite-(Ce)","CaCe(CO3)2F","Ca Ce C O F"
"Synchysite-(Nd)","Synchysite-(Nd)","CaNd(CO3)2F","Ca Nd C O F"
"Synchysite-(Y)","Synchysite-(Y)","CaY(CO3)2F","Ca Y C O F"
"Syngenite","Syngenite","K2Ca(SO4)2·H2O","K Ca S O H"
"Szaibélyite","Szaibelyite","MgBO2(OH)","Mg B O H"
"Szenicsite","Szenicsite","Cu3(MoO4)(OH)4","Cu Mo O H"
"Szklaryite","Szklaryite","[box]Al6BAs3+3O15","Al B As O"
"Szmikite","Szmikite","Mn(SO4)·H2O","Mn S O H"
"Szomolnokite","Szomolnokite","Fe(SO4)·H2O","Fe S O H"
"Sztrókayite","Sztrokayite","Bi3TeS2","Bi Te S"
"Szymańskiite","Szymanskiite","Hg16Ni6(CO3)12(OH)12(H3O)8·3H2O","Hg Ni C O H"
"Tacharanite","Tacharanite","Ca12Al2Si18O33(OH)36","Ca Al Si O H"
"Tachyhydrite","Tachyhydrite","CaMg2Cl6·12H2O","Ca Mg Cl H O"
"Tadzhikite-(Ce)","Tadzhikite-(Ce)","Ca4Ce2Ti[box](B4Si4O22)(OH)2","Ca Ce Ti B Si O H"
"Tadzhikite-(Y)","Tadzhikite-(Y)","",""
"Taenite","Taenite","(Ni,Fe)","Ni Fe"
"Taikanite","Taikanite","BaSr2Mn3+2O2(Si4O12)","Ba Sr Mn O Si"
"Taimyrite II","Taimyrite II","(Pd,Cu,Pt)3Sn","Pd Cu Pt Sn"
"Taimyrite-I","Taimyrite-I","(Pd,Pt)9Cu3Sn4","Pd Pt Cu Sn"
"Tainiolite","Tainiolite","KLiMg2Si4O10F2","K Li Mg Si O F"
"Taipingite-(Ce)","Taipingite-(Ce)","(Ce3+7Ca2)Mg(SiO4)3[SiO3(OH)]4F3","Ce Ca Mg Si O H F"
"Takanawaite-(Y)","Takanawaite-(Y)","YTaO4","Y Ta O"
"Takanelite","Takanelite","(Mn2+,Ca)2x(Mn4+)1-xO2·0.7H2O","Mn Ca O H"
"Takedaite","Takedaite","Ca3B2O6","Ca B O"
"Takéuchiite","Takeuchiite","Mg2Mn3+O2(BO3)","Mg Mn O B"
"Takovite","Takovite","Ni6Al2(CO3)(OH)16·4H2O","Ni Al C O H"
"Talc","Talc","Mg3Si4O10(OH)2","Mg Si O H"
"Talmessite","Talmessite","Ca2Mg(AsO4)2·2H2O","Ca Mg As O H"
"Talnakhite","Talnakhite","Cu9Fe8S16","Cu Fe S"
"Tamaite","Tamaite","(Ca,K,Na)xMn6(Si,Al)10O24(OH)4·nH2O (x = 1-2; n = 7-11)","Ca K Na Mn Si Al O H"
"Tamarugite","Tamarugite","NaAl(SO4)2·6H2O","Na Al S O H"
"Tamboite","Tamboite","Fe3+3(OH)(H2O)2(SO4)(Te4+O3)3[Te4+O(OH)2](H2O)3","Fe O H S Te"
"Tamuraite","Tamuraite","Ir5Fe10S16","Ir Fe S"
"Tancaite-(Ce)","Tancaite-(Ce)","FeCe(MoO4)3·3H2O","Fe Ce Mo O H"
"Tancoite","Tancoite","LiNa2Al(PO4)(PO3OH)(OH)","Li Na Al P O H"
"Taneyamalite","Taneyamalite","(Na,Ca)Mn2+12(Si,Al)12(O,OH)44","Na Ca Mn Si Al O H"
"Tangdanite","Tangdanite","Ca2Cu9(AsO4)4(SO4)0.5(OH)9·9H2O","Ca Cu As O S H"
"Tangeite","Tangeite","CaCu(VO4)(OH)","Ca Cu V O H"
"Taniajacoite","Taniajacoite","SrCaMn3+2Si4O11(OH)4·2H2O","Sr Ca Mn Si O H"
"Tanohataite","Tanohataite","LiMn2Si3O8(OH)","Li Mn Si O H"
"Tantalaeschynite-(Y)","Tantalaeschynite-(Y)","Y(Ta,Ti,Nb)2O6","Y Ta Ti Nb O"
"Tantalcarbide","Tantalcarbide","TaC","Ta C"
"Tantalite-(Fe)","Tantalite-(Fe)","Fe2+Ta2O6","Fe Ta O"
"Tantalite-(Mg)","Tantalite-(Mg)","MgTa2O6","Mg Ta O"
"Tantalite-(Mn)","Tantalite-(Mn)","Mn2+Ta2O6","Mn Ta O"
"Tantalowodginite","Tantalowodginite","(Mn,[box])TaTa2O8","Mn Ta O"
"Tanteuxenite-(Y)","Tanteuxenite-(Y)","Y(Ta,Nb,Ti)2(O,OH)6","Y Ta Nb Ti O H"
"Tantite","Tantite","Ta2O5","Ta O"
"Tapiaite","Tapiaite","Ca5Al2(AsO4)4(OH)4·12H2O","Ca Al As O H"
"Tapiolite-(Fe)","Tapiolite-(Fe)","Fe2+Ta2O6","Fe Ta O"
"Tapiolite-(Mn)","Tapiolite-(Mn)","Mn2+Ta2O6","Mn Ta O"
"Taramellite","Taramellite","Ba4(Fe3+,Ti)4O2[B2Si8O27]Clx","Ba Fe Ti O B Si Cl"
"Taramite","Taramite","Na(NaCa)(Mg3Al2)(Si6Al2)O22(OH)2","Na Ca Mg Al Si O H"
"Taranakite","Taranakite","K3Al5(PO3OH)6(PO4)2·18H2O","K Al P O H"
"Tarapacáite","Tarapacaite","K2(CrO4)","K Cr O"
"Tarbagataite","Tarbagataite","(K[box])CaFe2+7Ti2(Si4O12)2O2(OH)5","K Ca Fe Ti Si O H"
"Tarbuttite","Tarbuttite","Zn2(PO4)(OH)","Zn P O H"
"Tarkianite","Tarkianite","(Cu,Fe)(Re,Mo)4S8","Cu Fe Re Mo S"
"Taseqite","Taseqite","Na12Sr3Ca6Fe3Zr3NbSi25O73(O,OH,H2O)3Cl2","Na Sr Ca Fe Zr Nb Si O H Cl"
"Tashelgite","Tashelgite","CaMgFe2+Al9O16(OH)","Ca Mg Fe Al O H"
"Tassieite","Tassieite","NaCa2Mg3Fe2+2Fe3+(PO4)6·2H2O","Na Ca Mg Fe P O H"
"Tatarinovite","Tatarinovite","Ca3Al(SO4)[B(OH)4](OH)6·12H2O","Ca Al S O B H"
"Tatarskite","Tatarskite","Ca6Mg2(SO4)2(CO3)2(OH)4Cl4·7H2O","Ca Mg S O C H Cl"
"Tatyanaite","Tatyanaite","(Pt,Pd)9Cu3Sn4","Pt Pd Cu Sn"
"Tausonite","Tausonite","SrTiO3","Sr Ti O"
"Tavagnascoite","Tavagnascoite","Bi4O4(SO4)(OH)2","Bi O S H"
"Tavorite","Tavorite","LiFe3+(PO4)(OH)","Li Fe P O H"
"Tazheranite","Tazheranite","(Zr,Ti,Ca)(O,[box])2","Zr Ti Ca O"
"Tazieffite","Tazieffite","Pb20Cd2(As,Bi)22S50Cl10","Pb Cd As Bi S Cl"
"Tazzoliite","Tazzoliite","Ba2CaSr0.5Na0.5Ti2Nb3SiO17[PO2(OH)2]0.5","Ba Ca Sr Na Ti Nb Si O P H"
"Teallite","Teallite","PbSnS2","Pb Sn S"
"Tedhadleyite","Tedhadleyite","Hg2+Hg1+10O4I2(Cl,Br)2","Hg O I Cl Br"
"Teepleite","Teepleite","Na2B(OH)4Cl","Na B O H Cl"
"Tegengrenite","Tegengrenite","(Mn3+0.5Sb5+0.5)Mg2O4","Mn Sb Mg O"
"Teineite","Teineite","Cu2+(Te4+O3)·2H2O","Cu Te O H"
"Telargpalite","Telargpalite","(Pd,Ag)3Te","Pd Ag Te"
"Tellurantimony","Tellurantimony","Sb2Te3","Sb Te"
"Tellurite","Tellurite","TeO2","Te O"
"Tellurium","Tellurium","Te","Te"
"Tellurobismuthite","Tellurobismuthite","Bi2Te3","Bi Te"
