Mineral Name,Mineral Name (plain),IMA Chemistry (concise),Chemistry Elements,URL
Mahnertite,Mahnertite,"(Na,Ca,K)Cu_3_(AsO_4_)_2_Cl·5H_2_O",Na Ca K Cu As O Cl H,https://www.mindat.org/search.php?search=Mahnertite
Maikainite,Maikainite,Cu_10_Fe_3_MoGe_3_S_16_,Cu Fe Mo Ge S,https://www.mindat.org/search.php?search=Maikainite
Majakite,Majakite,PdNiAs,Pd Ni As,https://www.mindat.org/search.php?search=Majakite
Majindeite,Majindeite,Mg_2_Mo_3_O_8_,Mg Mo O,https://www.mindat.org/search.php?search=Majindeite
Majorite,Majorite,Mg_3_(MgSi)(SiO_4_)_3_,Mg Si O,https://www.mindat.org/search.php?search=Majorite
Majzlanite,Majzlanite,K_2_Na(ZnNa)Ca(SO_4_)_4_,K Na Zn Ca S O,https://www.mindat.org/search.php?search=Majzlanite
Makarochkinite,Makarochkinite,Ca_4_[Fe^2+^_8_Fe^3+^_2_Ti_2_]O_4_[Si_8_Be_2_Al_2_O_36_],Ca Fe Ti O Si Be Al,https://www.mindat.org/search.php?search=Makarochkinite
Makatite,Makatite,Na_2_Si_4_O_8_(OH)_2_·4H_2_O,Na Si O H,https://www.mindat.org/search.php?search=Makatite
Mäkinenite,Makinenite,NiSe,Ni Se,https://www.mindat.org/search.php?search=Makinenite
Makotoite,Makotoite,Ag_12_(Cu_3_Au)S_8_,Ag Cu Au S,https://www.mindat.org/search.php?search=Makotoite
Makovickyite,Makovickyite,Cu_1.12_Ag_0.81_Pb_0.27_Bi_5.35_S_9_,Cu Ag Pb Bi S,https://www.mindat.org/search.php?search=Makovickyite
Malachite,Malachite,Cu_2_(CO_3_)(OH)_2_,Cu C O H,https://www.mindat.org/search.php?search=Malachite
Malanite,Malanite,Cu^1+^(Ir^3+^Pt^4+^)S_4_,Cu Ir Pt S,https://www.mindat.org/search.php?search=Malanite
Malayaite,Malayaite,CaSnO(SiO_4_),Ca Sn O Si,https://www.mindat.org/search.php?search=Malayaite
Maldonite,Maldonite,Au_2_Bi,Au Bi,https://www.mindat.org/search.php?search=Maldonite
Maleevite,Maleevite,BaB_2_Si_2_O_8_,Ba B Si O,https://www.mindat.org/search.php?search=Maleevite
Maletoyvayamite,Maletoyvayamite,Au_3_Se_4_Te_6_,Au Se Te,https://www.mindat.org/search.php?search=Maletoyvayamite
Malhmoodite,Malhmoodite,Fe^2+^Zr(PO_4_)_2_·4H_2_O,Fe Zr P O H,https://www.mindat.org/search.php?search=Malhmoodite
Malinkoite,Malinkoite,NaBSiO_4_,Na B Si O,https://www.mindat.org/search.php?search=Malinkoite
Malladrite,Malladrite,Na_2_SiF_6_,Na Si F,https://www.mindat.org/search.php?search=Malladrite
Mallardite,Mallardite,Mn(SO_4_)·7H_2_O,Mn S O H,https://www.mindat.org/search.php?search=Mallardite
Mallestigite,Mallestigite,Pb_3_Sb(SO_4_)(AsO_4_)(OH)_6_·3H_2_O,Pb Sb S O As H,https://www.mindat.org/search.php?search=Mallestigite
Malyshevite,Malyshevite,PdCuBiS_3_,Pd Cu Bi S,https://www.mindat.org/search.php?search=Malyshevite
Mambertiite,Mambertiite,BiMo^5+^_2.8_O_8_(OH),Bi Mo O H,https://www.mindat.org/search.php?search=Mambertiite
Mammothite,Mammothite,Pb_6_Cu_4_AlSb^5+^O_2_(SO_4_)_2_Cl_4_(OH)_16_,Pb Cu Al Sb O S Cl H,https://www.mindat.org/search.php?search=Mammothite
Manaevite-(Ce),Manaevite-(Ce),"Ca_11_(Ce,H_2_O,Ca)_8_Mg(Al,Fe)_4_(Mg,Ti,Fe^3+^)_8_[Si_2_O_7_]_4_[(SiO_4_)_8_(H_4_O_4_)_2_](OH)_9_",Ca Ce H O Mg Al Fe Ti Si,https://www.mindat.org/search.php?search=Manaevite-(Ce)
Manaksite,Manaksite,KNaMn^2+^Si_4_O_10_,K Na Mn Si O,https://www.mindat.org/search.php?search=Manaksite
Manandonite,Manandonite,Li_2_Al_4_(Si_2_AlB)O_10_(OH)_8_,Li Al Si B O H,https://www.mindat.org/search.php?search=Manandonite
Mandarinoite,Mandarinoite,Fe^3+^_2_(Se^4+^O_3_)_3_·6H_2_O,Fe Se O H,https://www.mindat.org/search.php?search=Mandarinoite
Maneckiite,Maneckiite,(Na[box])Ca_2_Fe^2+^_2_(Fe^3+^Mg)Mn_2_(PO_4_)_6_·2H_2_O,Na Ca Fe Mg Mn P O H,https://www.mindat.org/search.php?search=Maneckiite
Manganarsite,Manganarsite,Mn^2+^_3_As^3+^_2_O_4_(OH)_4_,Mn As O H,https://www.mindat.org/search.php?search=Manganarsite
Manganbabingtonite,Manganbabingtonite,Ca_2_Mn^2+^Fe^3+^Si_5_O_14_(OH),Ca Mn Fe Si O H,https://www.mindat.org/search.php?search=Manganbabingtonite
Manganbelyankinite,Manganbelyankinite,"Mn^2+^(Ti,Nb)_5_O_12_·9H_2_O",Mn Ti Nb O H,https://www.mindat.org/search.php?search=Manganbelyankinite
Manganberzeliite,Manganberzeliite,(NaCa_2_)Mn^2+^_2_(AsO_4_)_3_,Na Ca Mn As O,https://www.mindat.org/search.php?search=Manganberzeliite
Manganflurlite,Manganflurlite,ZnMn^2+^_3_Fe^3+^(PO_4_)_3_(OH)_2_(H_2_O)_7_·2H_2_O,Zn Mn Fe P O H,https://www.mindat.org/search.php?search=Manganflurlite
Mangangordonite,Mangangordonite,Mn^2+^Al_2_(PO_4_)_2_(OH)_2_·8H_2_O,Mn Al P O H,https://www.mindat.org/search.php?search=Mangangordonite
Manganhumite,Manganhumite,Mn^2+^_7_(SiO_4_)_3_(OH)_2_,Mn Si O H,https://www.mindat.org/search.php?search=Manganhumite
Manganiakasakaite-(La),Manganiakasakaite-(La),CaLa(Mn^3+^AlMn^2+^)(Si_2_O_7_)(SiO_4_)O(OH),Ca La Mn Al Si O H,https://www.mindat.org/search.php?search=Manganiakasakaite-(La)
Manganiandrosite-(Ce),Manganiandrosite-(Ce),MnCe(Mn^3+^AlMn^2+^)[Si_2_O_7_][SiO_4_]O(OH),Mn Ce Al Si O H,https://www.mindat.org/search.php?search=Manganiandrosite-(Ce)
Manganiandrosite-(La),Manganiandrosite-(La),MnLa(Mn^3+^AlMn^2+^)[Si_2_O_7_][SiO_4_]O(OH),Mn La Al Si O H,https://www.mindat.org/search.php?search=Manganiandrosite-(La)
Manganiceladonite,Manganiceladonite,KMgMn^3+^Si_4_O_10_(OH)_2_,K Mg Mn Si O H,https://www.mindat.org/search.php?search=Manganiceladonite
Mangani-dellaventuraite,Mangani-dellaventuraite,NaNa_2_(MgMn^3+^_2_Ti^4+^Li)Si_8_O_22_O_2_,Na Mg Mn Ti Li Si O,https://www.mindat.org/search.php?search=Mangani-dellaventuraite
Manganilvaite,Manganilvaite,CaFe^2+^Fe^3+^Mn^2+^(Si_2_O_7_)O(OH),Ca Fe Mn Si O H,https://www.mindat.org/search.php?search=Manganilvaite
Mangani-obertiite,Mangani-obertiite,NaNa_2_(Mg_3_Mn^3+^Ti^4+^)Si_8_O_22_O_2_,Na Mg Mn Ti Si O,https://www.mindat.org/search.php?search=Mangani-obertiite
Mangani-pargasite,Mangani-pargasite,NaCa_2_(Mg_4_Mn^3+^)(Si_6_Al_2_)O_22_(OH)_2_,Na Ca Mg Mn Si Al O H,https://www.mindat.org/search.php?search=Mangani-pargasite
Manganite,Manganite,Mn^3+^O(OH),Mn O H,https://www.mindat.org/search.php?search=Manganite
Manganlotharmeyerite,Manganlotharmeyerite,CaMn^3+^_2_(AsO_4_)_2_(OH)_2_,Ca Mn As O H,https://www.mindat.org/search.php?search=Manganlotharmeyerite
Manganoarrojadite-(KNa),Manganoarrojadite-(KNa),KNa_5_MnFe_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_,K Na Mn Fe Al P O H,https://www.mindat.org/search.php?search=Manganoarrojadite-(KNa)
Manganobadalovite,Manganobadalovite,NaNaMn(MgFe^3+^)(AsO_4_)_3_,Na Mn Mg Fe As O,https://www.mindat.org/search.php?search=Manganobadalovite
Manganoblödite,Manganoblodite,Na_2_Mn(SO_4_)_2_·4H_2_O,Na Mn S O H,https://www.mindat.org/search.php?search=Manganoblodite
Manganochromite,Manganochromite,Mn^2+^Cr_2_O_4_,Mn Cr O,https://www.mindat.org/search.php?search=Manganochromite
Manganoeudialyte,Manganoeudialyte,"Na_14_Ca_6_Mn_3_Zr_3_[Si_26_O_72_(OH)_2_](H_2_O,Cl,O,OH)_6_",Na Ca Mn Zr Si O H Cl,https://www.mindat.org/search.php?search=Manganoeudialyte
Mangano-ferri-eckermannite,Mangano-ferri-eckermannite,NaNa_2_(Mn^2+^_4_Fe^3+^)Si_8_O_22_(OH)_2_,Na Mn Fe Si O H,https://www.mindat.org/search.php?search=Mangano-ferri-eckermannite
Manganohörnesite,Manganohornesite,Mn^2+^_3_(AsO_4_)_2_·8H_2_O,Mn As O H,https://www.mindat.org/search.php?search=Manganohornesite
Manganokaskasite,Manganokaskasite,"(Mo,Nb)S_2_·(Mn_1-x_Al_x_)(OH)_2+x_",Mo Nb S Mn Al O H,https://www.mindat.org/search.php?search=Manganokaskasite
Manganokhomyakovite,Manganokhomyakovite,"Na_12_Sr_3_Ca_6_Mn_3_Zr_3_W(Si_25_O_73_)(O,OH,H_2_O)_3_(Cl,OH)_2_",Na Sr Ca Mn Zr W Si O H Cl,https://www.mindat.org/search.php?search=Manganokhomyakovite
Manganokukisvumite,Manganokukisvumite,Na_6_MnTi_4_Si_8_O_28_·4H_2_O,Na Mn Ti Si O H,https://www.mindat.org/search.php?search=Manganokukisvumite
Manganolangbeinite,Manganolangbeinite,K_2_Mn^2+^_2_(SO_4_)_3_,K Mn S O,https://www.mindat.org/search.php?search=Manganolangbeinite
Mangano-mangani-ungarettiite,Mangano-mangani-ungarettiite,NaNa_2_(Mn^2+^_2_Mn^3+^_3_)Si_8_O_22_O_2_,Na Mn Si O,https://www.mindat.org/search.php?search=Mangano-mangani-ungarettiite
Manganonaujakasite,Manganonaujakasite,Na_6_Mn^2+^Al_4_Si_8_O_26_,Na Mn Al Si O,https://www.mindat.org/search.php?search=Manganonaujakasite
Manganoneptunite,Manganoneptunite,KNa_2_LiMn^2+^_2_Ti_2_Si_8_O_24_,K Na Li Mn Ti Si O,https://www.mindat.org/search.php?search=Manganoneptunite
Manganonordite-(Ce),Manganonordite-(Ce),Na_3_SrCeMn^2+^Si_6_O_17_,Na Sr Ce Mn Si O,https://www.mindat.org/search.php?search=Manganonordite-(Ce)
Manganoquadratite,Manganoquadratite,AgMnAsS_3_,Ag Mn As S,https://www.mindat.org/search.php?search=Manganoquadratite
Manganosegelerite,Manganosegelerite,Mn^2+^_2_Fe^3+^(PO_4_)_2_(OH)·4H_2_O,Mn Fe P O H,https://www.mindat.org/search.php?search=Manganosegelerite
Manganosite,Manganosite,MnO,Mn O,https://www.mindat.org/search.php?search=Manganosite
Manganostibite,Manganostibite,Mn^2+^_7_Sb^5+^As^5+^O_12_,Mn Sb As O,https://www.mindat.org/search.php?search=Manganostibite
Manganotychite,Manganotychite,Na_6_Mn^2+^_2_(CO_3_)_4_(SO_4_),Na Mn C O S,https://www.mindat.org/search.php?search=Manganotychite
Manganvesuvianite,Manganvesuvianite,Ca_19_Mn^3+^Al_10_Mg_2_(SiO_4_)_10_(Si_2_O_7_)_4_O(OH)_9_,Ca Mn Al Mg Si O H,https://www.mindat.org/search.php?search=Manganvesuvianite
Mangazeite,Mangazeite,Al_2_(SO_4_)(OH)_4_·3H_2_O,Al S O H,https://www.mindat.org/search.php?search=Mangazeite
Manitobaite,Manitobaite,Na_16_Mn^2+^_25_Al_8_(PO_4_)_30_,Na Mn Al P O,https://www.mindat.org/search.php?search=Manitobaite
Manjiroite,Manjiroite,Na(Mn^4+^_7_Mn^3+^)O_16_,Na Mn O,https://www.mindat.org/search.php?search=Manjiroite
Mannardite,Mannardite,Ba(Ti_6_V^3+^_2_)O_16_,Ba Ti V O,https://www.mindat.org/search.php?search=Mannardite
Mansfieldite,Mansfieldite,Al(AsO_4_)·2H_2_O,Al As O H,https://www.mindat.org/search.php?search=Mansfieldite
Mantienneite,Mantienneite,KMg_2_Al_2_Ti(PO_4_)_4_(OH)_3_·15H_2_O,K Mg Al Ti P O H,https://www.mindat.org/search.php?search=Mantienneite
Maohokite,Maohokite,MgFe_2_O_4_,Mg Fe O,https://www.mindat.org/search.php?search=Maohokite
Maoniupingite-(Ce),Maoniupingite-(Ce),"(Ce,Ca)_4_(Fe^3+^,Ti,Fe^2+^,[box])(Ti,Fe^3+^,Fe^2+^,Nb)_4_Si_4_O_22_",Ce Ca Fe Ti Nb Si O,https://www.mindat.org/search.php?search=Maoniupingite-(Ce)
Mapimite,Mapimite,Zn_2_Fe^3+^_3_(AsO_4_)_3_(OH)_4_·10H_2_O,Zn Fe As O H,https://www.mindat.org/search.php?search=Mapimite
Mapiquiroite,Mapiquiroite,"(Sr,Pb)(U,Y)Fe_2_(Ti,Fe^3+^)_18_O_38_",Sr Pb U Y Fe Ti O,https://www.mindat.org/search.php?search=Mapiquiroite
Marathonite,Marathonite,Pd_25_Ge_9_,Pd Ge,https://www.mindat.org/search.php?search=Marathonite
Marcasite,Marcasite,FeS_2_,Fe S,https://www.mindat.org/search.php?search=Marcasite
Marchettiite,Marchettiite,C_5_H_7_N_5_O_3_,C H N O,https://www.mindat.org/search.php?search=Marchettiite
Marcobaldiite,Marcobaldiite,Pb_12_(Sb_3_As_2_Bi)_Σ6_S_21_,Pb Sb As Bi S,https://www.mindat.org/search.php?search=Marcobaldiite
Marécottite,Marecottite,Mg_3_O_6_(UO_2_)_8_(SO_4_)_4_(OH)_2_·28H_2_O,Mg O U S H,https://www.mindat.org/search.php?search=Marecottite
Margaritasite,Margaritasite,Cs_2_(UO_2_)_2_(VO_4_)_2_·H_2_O,Cs U O V H,https://www.mindat.org/search.php?search=Margaritasite
Margarite,Margarite,CaAl_2_Si_2_Al_2_O_10_(OH)_2_,Ca Al Si O H,https://www.mindat.org/search.php?search=Margarite
Margarosanite,Margarosanite,Ca_2_PbSi_3_O_9_,Ca Pb Si O,https://www.mindat.org/search.php?search=Margarosanite
Mariakrite,Mariakrite,[Ca_4_Al_2_(OH)_12_(H_2_O)_4_][Fe_2_S_4_],Ca Al O H Fe S,https://www.mindat.org/search.php?search=Mariakrite
Marialite,Marialite,Na_4_Al_3_Si_9_O_24_Cl,Na Al Si O Cl,https://www.mindat.org/search.php?search=Marialite
Marićite,Maricite,NaFe^2+^(PO_4_),Na Fe P O,https://www.mindat.org/search.php?search=Maricite
Maricopaite,Maricopaite,"Ca_2_Pb_7_(Si_36_Al_12_)O_99_·n(H_2_O,OH)",Ca Pb Si Al O H,https://www.mindat.org/search.php?search=Maricopaite
Mariinskite,Mariinskite,BeCr_2_O_4_,Be Cr O,https://www.mindat.org/search.php?search=Mariinskite
Marinaite,Marinaite,Cu_2_Fe^3+^O_2_(BO_3_),Cu Fe O B,https://www.mindat.org/search.php?search=Marinaite
Marinellite,Marinellite,Na_42_Ca_6_Al_36_Si_36_O_144_(SO_4_)_8_Cl_2_·6H_2_O,Na Ca Al Si O S Cl H,https://www.mindat.org/search.php?search=Marinellite
Markascherite,Markascherite,Cu_3_(MoO_4_)(OH)_4_,Cu Mo O H,https://www.mindat.org/search.php?search=Markascherite
Markcooperite,Markcooperite,Pb_2_(UO_2_)TeO_6_,Pb U O Te,https://www.mindat.org/search.php?search=Markcooperite
Markeyite,Markeyite,Ca_9_(UO_2_)_4_(CO_3_)_13_·28H_2_O,Ca U O C H,https://www.mindat.org/search.php?search=Markeyite
Markhininite,Markhininite,TlBi(SO_4_)_2_,Tl Bi S O,https://www.mindat.org/search.php?search=Markhininite
Marklite,Marklite,Cu_5_(CO_3_)_2_(OH)_6_·6H_2_O,Cu C O H,https://www.mindat.org/search.php?search=Marklite
Marokite,Marokite,CaMn^3+^_2_O_4_,Ca Mn O,https://www.mindat.org/search.php?search=Marokite
Marrite,Marrite,AgPbAsS_3_,Ag Pb As S,https://www.mindat.org/search.php?search=Marrite
Marrucciite,Marrucciite,Hg_3_Pb_16_Sb_18_S_46_,Hg Pb Sb S,https://www.mindat.org/search.php?search=Marrucciite
Marshite,Marshite,CuI,Cu I,https://www.mindat.org/search.php?search=Marshite
Marsturite,Marsturite,NaCaMn^2+^_3_Si_5_O_14_(OH),Na Ca Mn Si O H,https://www.mindat.org/search.php?search=Marsturite
Marthozite,Marthozite,Cu^2+^(UO_2_)_3_(Se^4+^O_3_)_2_O_2_·8H_2_O,Cu U O Se H,https://www.mindat.org/search.php?search=Marthozite
Martinandresite,Martinandresite,Ba_2_(Al_4_Si_12_O_32_)·10H_2_O,Ba Al Si O H,https://www.mindat.org/search.php?search=Martinandresite
Martinite,Martinite,"(Na,[box],Ca)_12_Ca_4_(Si,S,B)_14_B_2_O_38_(OH,Cl)_2_F_2_·4H_2_O",Na Ca Si S B O H Cl F,https://www.mindat.org/search.php?search=Martinite
Martyite,Martyite,Zn_3_V_2_O_7_(OH)_2_·2H_2_O,Zn V O H,https://www.mindat.org/search.php?search=Martyite
Marumoite,Marumoite,Pb_32_As_40_S_92_,Pb As S,https://www.mindat.org/search.php?search=Marumoite
Maruyamaite,Maruyamaite,K(MgAl_2_)(Al_5_Mg)(BO_3_)_3_(Si_6_O_18_)(OH)_3_O,K Mg Al B O Si H,https://www.mindat.org/search.php?search=Maruyamaite
Mascagnite,Mascagnite,(NH_4_)_2_(SO_4_),N H S O,https://www.mindat.org/search.php?search=Mascagnite
Maslovite,Maslovite,PtBiTe,Pt Bi Te,https://www.mindat.org/search.php?search=Maslovite
Massicot,Massicot,PbO,Pb O,https://www.mindat.org/search.php?search=Massicot
Masutomilite,Masutomilite,"KLiAlMn^2+^(Si_3_Al)O_10_(F,OH)_2_",K Li Al Mn Si O F H,https://www.mindat.org/search.php?search=Masutomilite
Masuyite,Masuyite,Pb(UO_2_)_3_O_3_(OH)_2_·3H_2_O,Pb U O H,https://www.mindat.org/search.php?search=Masuyite
Mathesiusite,Mathesiusite,K_5_(UO_2_)_4_(SO_4_)_4_(VO_5_)(H_2_O)_4_,K U O S V H,https://www.mindat.org/search.php?search=Mathesiusite
Mathewrogersite,Mathewrogersite,"Pb_7_FeAl_3_GeSi_12_O_36_(OH,H_2_O)_6_",Pb Fe Al Ge Si O H,https://www.mindat.org/search.php?search=Mathewrogersite
Mathiasite,Mathiasite,"(K,Ba,Sr)(Zr,Fe)(Mg,Fe)_2_(Ti,Cr,Fe)_18_O_38_",K Ba Sr Zr Fe Mg Ti Cr O,https://www.mindat.org/search.php?search=Mathiasite
Matildite,Matildite,AgBiS_2_,Ag Bi S,https://www.mindat.org/search.php?search=Matildite
Matioliite,Matioliite,NaMgAl_5_(PO_4_)_4_(OH)_6_·2H_2_O,Na Mg Al P O H,https://www.mindat.org/search.php?search=Matioliite
Matlockite,Matlockite,PbClF,Pb Cl F,https://www.mindat.org/search.php?search=Matlockite
Matsubaraite,Matsubaraite,Sr_4_Ti_5_O_8_(Si_2_O_7_)_2_,Sr Ti O Si,https://www.mindat.org/search.php?search=Matsubaraite
Mattagamite,Mattagamite,CoTe_2_,Co Te,https://www.mindat.org/search.php?search=Mattagamite
Matteuccite,Matteuccite,NaH(SO_4_)·H_2_O,Na H S O,https://www.mindat.org/search.php?search=Matteuccite
Mattheddleite,Mattheddleite,Pb_5_(SiO_4_)_1.5_(SO_4_)_1.5_Cl,Pb Si O S Cl,https://www.mindat.org/search.php?search=Mattheddleite
Matthiasweilite,Matthiasweilite,PbTe^4+^O_3_,Pb Te O,https://www.mindat.org/search.php?search=Matthiasweilite
Matulaite,Matulaite,Fe^3+^Al_7_(PO_4_)_4_(PO_3_OH)_2_(OH)_8_(H_2_O)_8_·8H_2_O,Fe Al P O H,https://www.mindat.org/search.php?search=Matulaite
Matyhite,Matyhite,Ca_9_(Ca_0.5_[box]_0.5_)Fe^2+^(PO_4_)_7_,Ca Fe P O,https://www.mindat.org/search.php?search=Matyhite
Maucherite,Maucherite,Ni_11_As_8_,Ni As,https://www.mindat.org/search.php?search=Maucherite
Mauriziodiniite,Mauriziodiniite,(NH_4_)(As_2_O_3_)_2_I,N H As O I,https://www.mindat.org/search.php?search=Mauriziodiniite
Mavlyanovite,Mavlyanovite,Mn_5_Si_3_,Mn Si,https://www.mindat.org/search.php?search=Mavlyanovite
Mawbyite,Mawbyite,PbFe^3+^_2_(AsO_4_)_2_(OH)_2_,Pb Fe As O H,https://www.mindat.org/search.php?search=Mawbyite
Mawsonite,Mawsonite,Cu_6_Fe_2_SnS_8_,Cu Fe Sn S,https://www.mindat.org/search.php?search=Mawsonite
Maxwellite,Maxwellite,NaFe^3+^(AsO_4_)F,Na Fe As O F,https://www.mindat.org/search.php?search=Maxwellite
Mayingite,Mayingite,IrBiTe,Ir Bi Te,https://www.mindat.org/search.php?search=Mayingite
Mazzettiite,Mazzettiite,Ag_3_HgPbSbTe_5_,Ag Hg Pb Sb Te,https://www.mindat.org/search.php?search=Mazzettiite
Mazzite-Mg,Mazzite-Mg,Mg_5_(Si_26_Al_10_)O_72_·30H_2_O,Mg Si Al O H,https://www.mindat.org/search.php?search=Mazzite-Mg
Mazzite-Na,Mazzite-Na,Na_8_(Si_28_Al_8_)O_72_·30H_2_O,Na Si Al O H,https://www.mindat.org/search.php?search=Mazzite-Na
Mbobomkulite,Mbobomkulite,"(Ni,Cu)Al_4_(NO_3_,SO_4_)_2_(OH)_12_·3H_2_O",Ni Cu Al N O S H,https://www.mindat.org/search.php?search=Mbobomkulite
Mcallisterite,Mcallisterite,Mg_2_[B_6_O_7_(OH)_6_]_2_·9H_2_O,Mg B O H,https://www.mindat.org/search.php?search=Mcallisterite
Mcalpineite,Mcalpineite,Cu_3_Te^6+^O_6_,Cu Te O,https://www.mindat.org/search.php?search=Mcalpineite
Mcauslanite,Mcauslanite,Fe^2+^_3_Al_2_(PO_4_)_3_(PO_3_OH)F·18H_2_O,Fe Al P O H F,https://www.mindat.org/search.php?search=Mcauslanite
Mcbirneyite,Mcbirneyite,Cu_3_(VO_4_)_2_,Cu V O,https://www.mindat.org/search.php?search=Mcbirneyite
Mcconnellite,Mcconnellite,Cu^1+^CrO_2_,Cu Cr O,https://www.mindat.org/search.php?search=Mcconnellite
Mccrillisite,Mccrillisite,"NaCs(Be,Li)Zr_2_(PO_4_)_4_·1-2H_2_O",Na Cs Be Li Zr P O H,https://www.mindat.org/search.php?search=Mccrillisite
Mcgillite,Mcgillite,Mn^2+^_8_Si_6_O_15_(OH)_8_Cl_2_,Mn Si O H Cl,https://www.mindat.org/search.php?search=Mcgillite
Mcgovernite,Mcgovernite,"Zn_3_(Mn^2+^,Mg,Fe^3+^,Al)_42_(As^3+^O_3_)_2_(As^5+^O_4_)_4_[(Si,As^5+^)O_4_]_8_(OH)_42_",Zn Mn Mg Fe Al As O Si H,https://www.mindat.org/search.php?search=Mcgovernite
Mcguinnessite,Mcguinnessite,CuMg(CO_3_)(OH)_2_,Cu Mg C O H,https://www.mindat.org/search.php?search=Mcguinnessite
Mckelveyite-(Y),Mckelveyite-(Y),NaBa_3_CaY(CO_3_)_6_·3H_2_O,Na Ba Ca Y C O H,https://www.mindat.org/search.php?search=Mckelveyite-(Y)
Mckinstryite,Mckinstryite,Ag_5_Cu_3_S_4_,Ag Cu S,https://www.mindat.org/search.php?search=Mckinstryite
Mcnearite,Mcnearite,NaCa_5_(AsO_4_)(AsO_3_OH)_4_·4H_2_O,Na Ca As O H,https://www.mindat.org/search.php?search=Mcnearite
Medaite,Medaite,Mn^2+^_6_V^5+^Si_5_O_18_(OH),Mn V Si O H,https://www.mindat.org/search.php?search=Medaite
Medenbachite,Medenbachite,Bi_2_Fe^3+^Cu^2+^(AsO_4_)_2_O(OH)_3_,Bi Fe Cu As O H,https://www.mindat.org/search.php?search=Medenbachite
Medvedevite,Medvedevite,KMn^2+^V_2_O_6_Cl·2H_2_O,K Mn V O Cl H,https://www.mindat.org/search.php?search=Medvedevite
Meerschautite,Meerschautite,"(Ag,Cu)_5.5_Pb_42.4_(Sb,As)_45.1_S_112_O_0.8_",Ag Cu Pb Sb As S O,https://www.mindat.org/search.php?search=Meerschautite
Megacyclite,Megacyclite,KNa_8_Si_9_O_18_(OH)_9_·19H_2_O,K Na Si O H,https://www.mindat.org/search.php?search=Megacyclite
Megakalsilite,Megakalsilite,KAlSiO_4_,K Al Si O,https://www.mindat.org/search.php?search=Megakalsilite
Megawite,Megawite,CaSnO_3_,Ca Sn O,https://www.mindat.org/search.php?search=Megawite
Meieranite,Meieranite,Na_2_Sr_3_MgSi_6_O_17_,Na Sr Mg Si O,https://www.mindat.org/search.php?search=Meieranite
Meierite,Meierite,Ba_44_Si_66_Al_30_O_192_Cl_25_(OH)_33_,Ba Si Al O Cl H,https://www.mindat.org/search.php?search=Meierite
Meifuite,Meifuite,KFe_6_(Si_7_Al)O_19_(OH)_4_Cl_2_,K Fe Si Al O H Cl,https://www.mindat.org/search.php?search=Meifuite
Meionite,Meionite,Ca_4_Al_6_Si_6_O_24_(CO_3_),Ca Al Si O C,https://www.mindat.org/search.php?search=Meionite
Meisserite,Meisserite,Na_5_(UO_2_)(SO_4_)_3_(SO_3_OH)(H_2_O),Na U O S H,https://www.mindat.org/search.php?search=Meisserite
Meitnerite,Meitnerite,(NH_4_)(UO_2_)(SO_4_)(OH)·2H_2_O,N H U O S,https://www.mindat.org/search.php?search=Meitnerite
Meixnerite,Meixnerite,Mg_6_Al_2_(OH)_16_(OH)_2_·4H_2_O,Mg Al O H,https://www.mindat.org/search.php?search=Meixnerite
Mejillonesite,Mejillonesite,NaMg_2_(PO_3_OH)(PO_4_)(OH)·H_5_O_2_,Na Mg P O H,https://www.mindat.org/search.php?search=Mejillonesite
Melanarsite,Melanarsite,K_3_Cu_7_Fe^3+^O_4_(AsO_4_)_4_,K Cu Fe O As,https://www.mindat.org/search.php?search=Melanarsite
Melanocerite-(Ce),Melanocerite-(Ce),"Ce_5_(SiO_4_,BO_4_)_3_(OH,O)",Ce Si O B H,https://www.mindat.org/search.php?search=Melanocerite-(Ce)
Melanophlogite,Melanophlogite,C_2_H_17_O_5_·Si_46_O_92_,C H O Si,https://www.mindat.org/search.php?search=Melanophlogite
Melanostibite,Melanostibite,"Mn^2+^(Sb^5+^,Fe^3+^)O_3_",Mn Sb Fe O,https://www.mindat.org/search.php?search=Melanostibite
Melanotekite,Melanotekite,Pb_2_Fe^3+^_2_O_2_(Si_2_O_7_),Pb Fe O Si,https://www.mindat.org/search.php?search=Melanotekite
Melanothallite,Melanothallite,Cu_2_OCl_2_,Cu O Cl,https://www.mindat.org/search.php?search=Melanothallite
Melanovanadite,Melanovanadite,"Ca(V^5+^,V^4+^)_4_O_10_·5H_2_O",Ca V O H,https://www.mindat.org/search.php?search=Melanovanadite
Melansonite,Melansonite,Na[box]KZrSi_8_O_19_·5H_2_O,Na K Zr Si O H,https://www.mindat.org/search.php?search=Melansonite
Melanterite,Melanterite,Fe(SO_4_)·7H_2_O,Fe S O H,https://www.mindat.org/search.php?search=Melanterite
Melcherite,Melcherite,Ba_2_Na_2_Mg[Nb_6_O_19_]·6H_2_O,Ba Na Mg Nb O H,https://www.mindat.org/search.php?search=Melcherite
Meliphanite,Meliphanite,"Ca_4_(Na,Ca)_4_Be_4_AlSi_7_O_24_(F,O)_4_",Ca Na Be Al Si O F,https://www.mindat.org/search.php?search=Meliphanite
Melkovite,Melkovite,CaFe^3+^_2_Mo_5_O_10_(PO_4_)_2_(OH)_12_·8H_2_O,Ca Fe Mo O P H,https://www.mindat.org/search.php?search=Melkovite
